post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,314,103,speckx,2026-04-10 13:29:54,0.326984126984127,True
47712656,We've raised $17M to build what comes after Git,technology,90,166,ellieh,2026-04-10 13:29:58,1.8241758241758241,False
47709158,Charcuterie – Visual similarity Unicode explorer,technology,209,36,rickcarlino,2026-04-10 13:30:00,0.17142857142857143,True
47713113,"The Raft consensus algorithm explained through ""Mean Girls"" (2019)",technology,71,18,vermilingua,2026-04-10 13:30:09,0.25,False
47707632,"Instant 1.0, a backend for AI-coded apps",technology,134,76,stopachka,2026-04-10 13:30:10,0.562962962962963,False
47706141,Research-Driven Agents: When an agent reads before it codes,technology,171,48,hopechong,2026-04-10 13:30:11,0.27906976744186046,True
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,21,2,russellharper,2026-04-10 13:30:17,0.09090909090909091,False
47674950,An AI robot in my home,technology,30,12,kukanani,2026-04-10 13:30:20,0.3870967741935484,False
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,141,18,juretriglav,2026-04-10 13:30:23,0.1267605633802817,False
47695666,Show HN: Druids – Build your own software factory,technology,50,11,etherio,2026-04-10 13:30:25,0.21568627450980393,False
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,technology,202,230,speckx,2026-04-10 13:30:33,1.1330049261083743,True
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,152,95,SirHound,2026-04-10 13:30:34,0.6209150326797386,False
47687273,Git commands I run before reading any code,technology,2246,477,grepsedawk,2026-04-10 13:30:38,0.21228304405874499,True
47710782,The Training Example Lie Bracket,technology,28,13,pb1729,2026-04-10 13:30:41,0.4482758620689655,False
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,326,218,kisamoto,2026-04-10 13:30:42,0.6666666666666666,True
47701233,Claude mixes up who said what,technology,428,334,sixhobbits,2026-04-10 13:30:47,0.7785547785547785,True
47660434,C# in Unity 2026: Writing more modern code,technology,74,96,hacker_13,2026-04-10 13:30:49,1.28,False
47708817,Maine is about to become the first state to ban major new data centers,technology,279,393,rmason,2026-04-10 13:30:50,1.4035714285714285,True
47708411,Bitmap fonts make computers feel like computers again,technology,104,79,speckx,2026-04-10 13:30:52,0.7523809523809524,False
47713732,First man convicted under Take It Down Act kept making AI nudes after arrest,technology,10,0,tzs,2026-04-10 13:30:55,0.0,False
47712771,"Google's AI Overviews spew false answers per hour, bombshell study reveals",technology,22,4,1vuio0pswjnm7,2026-04-10 13:30:56,0.17391304347826086,False
47704285,Clean code in the age of coding agents,technology,51,83,yanis_t,2026-04-10 13:30:57,1.5961538461538463,False
47711960,Vibe-Coded Ext4 for OpenBSD,technology,10,4,signa11,2026-04-10 13:30:59,0.36363636363636365,False
47712755,"Detox may erase 10 years of social media brain damage, researchers say",technology,25,2,1vuio0pswjnm7,2026-04-10 13:31:05,0.07692307692307693,False
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,264,104,akshay2603,2026-04-10 13:31:13,0.39245283018867927,True
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,42,18,testing22321,2026-04-10 13:31:02,0.4186046511627907,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,388,367,chabons,2026-04-10 13:31:46,0.9434447300771208,True
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,616,261,zixuanlimit,2026-04-10 13:32:14,0.42301458670988656,True
47680124,IPv6 is the only way forward,worldnews,103,320,quaintdev,2026-04-10 13:32:42,3.076923076923077,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-10 13:32:54,0.22608695652173913,False
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,124,19,ductionist,2026-04-10 13:33:09,0.152,False
